INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232087942,801,,ASSAULT - SIMPLE,C11,388,0,2023-10-30 16:38:00+00,2023,10,Monday,16,,DORCHESTER AVE,42.27839874,-71.06636369,"(42.278398738723865, -71.0663636931385)"
232006957,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-01-27 08:58:00+00,2023,1,Friday,8,,HILLSIDE ST,42.33164118,-71.1076085,"(42.33164117502548, -71.10760850313525)"
232074567,801,,ASSAULT - SIMPLE,B2,268,0,2023-09-15 06:58:00+00,2023,9,Friday,6,,DUDLEY ST,42.3278847,-71.07770688,"(42.32788470408607, -71.07770688466665)"
232032743,423,,ASSAULT - AGGRAVATED,D14, ,0,2023-04-28 15:08:00+00,2023,4,Friday,15,,"N BEACON ST & ARTHUR ST
BRIGHTON  MA 02134
UNITED ",42.35448867,-71.14255264,"(42.354488666571456, -71.14255263541209)"
232078062,3410,,TOWED MOTOR VEHICLE,C6,175,0,2023-09-27 11:00:00+00,2023,9,Wednesday,11,,ATKINSON ST,42.332593,-71.06863222,"(42.3325929986798, -71.06863222350759)"
232055830,3115,,INVESTIGATE PERSON,A1,89,0,2023-07-15 12:40:00+00,2023,7,Saturday,12,,COMMERCIAL ST,42.36348669,-71.05141529,"(42.36348668826067, -71.0514152915141)"
232058665,1831,,SICK ASSIST,D14,795,0,2023-07-24 22:18:00+00,2023,7,Monday,22,,COMMONWEALTH AVE,42.34900702,-71.13860172,"(42.349007018559824, -71.13860172253322)"
232022830,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-03-25 01:38:00+00,2023,3,Saturday,1,,"HAMLET ST & RAMSEY ST
DORCHESTER  MA 02125
UNITED ",42.31825957,-71.06464956,"(42.318259565697765, -71.06464956381892)"
232049546,3115,,INVESTIGATE PERSON,C6, ,0,2023-06-24 02:33:00+00,2023,6,Saturday,2,,SEAPORT BLVD,42.35275567,-71.04748171,"(42.35275567415722, -71.04748170860296)"
232005019,3207,,PROPERTY - FOUND,B2,329,0,2023-01-19 00:00:00+00,2023,1,Thursday,0,,BLUE HILL AVE,42.30938393,-71.08262338,"(42.30938393115588, -71.08262338147958)"
232038348,3502,,MISSING PERSON - LOCATED,E18, ,0,2023-05-16 09:30:00+00,2023,5,Tuesday,9,,RUGBY RD,42.26989548,-71.10413651,"(42.269895480024395, -71.10413650701352)"
232000752,1832,,SICK ASSIST - DRUG RELATED ILLNESS,B2, ,0,2023-01-04 01:30:00+00,2023,1,Wednesday,1,,MARTIN LUTHER KING JR BLVD,42.31860089,-71.08405851,"(42.318600893967655, -71.0840585146896)"
232082812,1831,,SICK ASSIST,A7,33,0,2023-10-13 11:23:00+00,2023,10,Friday,11,,EVERETT ST,42.36758689,-71.03490499,"(42.36758688639935, -71.03490499172264)"
232023565,613,,LARCENY SHOPLIFTING,D4, ,0,2023-03-26 20:49:00+00,2023,3,Sunday,20,,BOYLSTON ST,42.34412585,-71.09942834,"(42.34412585328354, -71.09942833974739)"
232074383,1831,,SICK ASSIST,B2,258,0,2023-09-14 15:30:00+00,2023,9,Thursday,15,,COLUMBIA RD,42.31684485,-71.06556474,"(42.31684485328846, -71.06556474361004)"
232091377,617,,LARCENY THEFT FROM BUILDING,D14,778,0,2023-11-10 11:30:00+00,2023,11,Friday,11,,WASHINGTON ST,42.34905564,-71.15049917,"(42.34905564195639, -71.1504991731562)"
232084573,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2023-10-16 18:30:00+00,2023,10,Monday,18,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232064115,2646,,LIQUOR/ALCOHOL - DRINKING IN PUBLIC,A1, ,0,2023-08-11 21:56:00+00,2023,8,Friday,21,,"HULL ST & SALEM ST
BOSTON  MA 02113
UNITED STATES",42.36640247,-71.05472443,"(42.366402469532474, -71.05472442814752)"
232019799,3410,,TOWED MOTOR VEHICLE,C11, ,0,2023-03-15 10:39:00+00,2023,3,Wednesday,10,,ELMDALE ST,,,
232063667,1831,,SICK ASSIST,A1, ,0,2023-08-10 16:50:00+00,2023,8,Thursday,16,,CAMBRIDGE ST,42.3612428,-71.06497372,"(42.36124279722918, -71.0649737244156)"
232046116,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,304,0,2023-06-02 18:00:00+00,2023,6,Friday,18,,SLAYTON WAY,42.32176989,-71.09779836,"(42.321769894775336, -71.09779835511604)"
232090100,3115,,INVESTIGATE PERSON,C11,340,0,2023-11-06 11:41:00+00,2023,11,Monday,11,,POTOSI ST,42.30685363,-71.06469267,"(42.30685362811589, -71.06469266549813)"
232042014,3410,,TOWED MOTOR VEHICLE,A1, ,0,2023-05-29 10:18:00+00,2023,5,Monday,10,,STILLMAN ST,42.36384768,-71.05695123,"(42.36384768131387, -71.05695123416167)"
232061674,617,,LARCENY THEFT FROM BUILDING,B2,317,0,2023-08-03 11:09:00+00,2023,8,Thursday,11,,HUMBOLDT AVE,42.31315455,-71.08948938,"(42.31315455120141, -71.0894893798054)"
232083529,616,,LARCENY THEFT OF BICYCLE,C11,355,0,2023-10-15 21:00:00+00,2023,10,Sunday,21,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232033618,1402,,VANDALISM,C11,341,0,2023-05-01 17:25:00+00,2023,5,Monday,17,,SPEEDWELL ST,42.30406675,-71.067601,"(42.30406675390784, -71.06760100410887)"
232050092,1831,,SICK ASSIST,A1, ,0,2023-06-26 05:46:00+00,2023,6,Monday,5,,THACHER ST,42.36528886,-71.05762327,"(42.36528885664975, -71.05762326860449)"
232066389,3410,,TOWED MOTOR VEHICLE,C6, ,0,2023-08-19 11:22:00+00,2023,8,Saturday,11,,E BROADWAY,42.33546763,-71.04489196,"(42.33546762955567, -71.04489196127196)"
232052967,3115,,INVESTIGATE PERSON,C6, ,0,2023-07-05 21:26:00+00,2023,7,Wednesday,21,,NEWMARKET SQ,42.32753996,-71.06598439,"(42.327539963214186, -71.06598439329062)"
232056814,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5, ,0,2023-07-18 19:40:00+00,2023,7,Tuesday,19,,CENTRE ST,42.2870932,-71.14822209,"(42.28709320338153, -71.14822209118665)"
232019880,724,,AUTO THEFT,D4,167,0,2023-03-14 12:00:00+00,2023,3,Tuesday,12,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
232007895,801,,ASSAULT - SIMPLE,A1,111,0,2023-01-30 00:00:00+00,2023,1,Monday,0,,TREMONT ST,42.35594191,-71.06258379,"(42.35594191306203, -71.06258379228247)"
232011357,3114,,INVESTIGATE PROPERTY,B2, ,0,2023-02-11 16:51:00+00,2023,2,Saturday,16,,INTERVALE ST,42.31226053,-71.08179061,"(42.312260533638614, -71.08179061202078)"
232023819,3001,,DEATH INVESTIGATION,E5, ,0,2023-03-25 01:00:00+00,2023,3,Saturday,1,,MIAMI AVE,42.27517655,-71.16382262,"(42.27517655122094, -71.16382261836402)"
232065284,801,,ASSAULT - SIMPLE,B2, ,0,2023-08-15 19:32:00+00,2023,8,Tuesday,19,,WARREN PL,42.32793159,-71.08222655,"(42.3279315858123, -71.08222654886477)"
232022856,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A1, ,0,2023-03-25 06:27:00+00,2023,3,Saturday,6,,CHARLES ST,42.3603349,-71.07082022,"(42.36033489733181, -71.07082021521819)"
232046032,3410,,TOWED MOTOR VEHICLE,C6, ,0,2023-06-12 00:00:00+00,2023,6,Monday,0,,COLUMBIA RD,42.33051007,-71.0424448,"(42.33051007111214, -71.0424448020957)"
232019849,3301,,VERBAL DISPUTE,C6, ,0,2023-03-15 13:34:00+00,2023,3,Wednesday,13,,WILLIAM T MORRISSEY BLVD,,,
232076222,1831,,SICK ASSIST,D4,128,0,2023-09-21 03:13:00+00,2023,9,Thursday,3,,STUART ST,42.34983584,-71.07105185,"(42.34983584398484, -71.07105184596284)"
232088476,3410,,TOWED MOTOR VEHICLE,A7,24,0,2023-11-01 08:47:00+00,2023,11,Wednesday,8,,MONMOUTH ST,42.38011715,-71.03722978,"(42.38011714974112, -71.03722977772568)"
232094611,2647,,THREATS TO DO BODILY HARM,B2,292,0,2023-11-20 21:14:00+00,2023,11,Monday,21,,WASHINGTON ST,42.32666467,-71.08749089,"(42.32666466500648, -71.08749089336952)"
232053151,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,A1, ,0,2023-07-06 15:13:00+00,2023,7,Thursday,15,,SUDBURY ST,,,
232030795,1106,,FRAUD - CREDIT CARD / ATM FRAUD,D4, ,0,2023-04-14 10:00:00+00,2023,4,Friday,10,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
232014394,1402,,VANDALISM,D14, ,0,2023-02-22 21:06:00+00,2023,2,Wednesday,21,,WESTERN AVE,42.36335684,-71.13289591,"(42.36335683753538, -71.13289591031801)"
232093672,3410,,TOWED MOTOR VEHICLE,C6,214,0,2023-11-17 19:09:00+00,2023,11,Friday,19,,D ST,42.33762832,-71.05220657,"(42.33762832023418, -71.05220656773632)"
232043577,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14, ,0,2023-06-03 12:53:00+00,2023,6,Saturday,12,,"EMERY RD & RUGG RD
BRIGHTON  MA 02134
UNITED STATE",42.35529962,-71.13569059,"(42.355299619439364, -71.13569059175784)"
232034580,613,,LARCENY SHOPLIFTING,A1, ,0,2023-05-04 19:17:00+00,2023,5,Thursday,19,,WASHINGTON ST,42.35648583,-71.0592819,"(42.35648582614597, -71.05928190137298)"
232046727,3201,,PROPERTY - LOST/ MISSING,C11, ,0,2023-06-14 14:04:00+00,2023,6,Wednesday,14,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232004508,2101,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,A7, ,0,2023-01-18 01:48:00+00,2023,1,Wednesday,1,,MERIDIAN ST,42.37673458,-71.03914155,"(42.37673457802741, -71.03914155189058)"
232053535,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2023-07-05 20:00:00+00,2023,7,Wednesday,20,,NEW SUDBURY ST,42.36183809,-71.05976533,"(42.3618380883142, -71.05976533206233)"
232085963,3001,,DEATH INVESTIGATION,C6,936,0,2023-10-24 10:03:00+00,2023,10,Tuesday,10,,B ST,42.33853205,-71.05661195,"(42.338532047013146, -71.05661194710586)"
232061678,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2023-08-03 21:55:00+00,2023,8,Thursday,21,,"ALBANY ST & NORTHAMPTON ST
BOSTON  MA 02118
UNITED",42.3328195,-71.07440053,"(42.332819498328355, -71.0744005265402)"
232065551,3115,,INVESTIGATE PERSON,A1, ,0,2023-08-11 23:30:00+00,2023,8,Friday,23,,NEW SUDBURY ST,42.36183809,-71.05976533,"(42.3618380883142, -71.05976533206233)"
232056310,1402,,VANDALISM,B2, ,0,2023-07-17 09:58:00+00,2023,7,Monday,9,,"DUDLEY ST & HAMPDEN ST
ROXBURY  MA 02119
UNITED ST",42.32614457,-71.0753356,"(42.3261445667644, -71.07533559608632)"
232011605,801,,ASSAULT - SIMPLE,A7, ,0,2023-02-12 18:10:00+00,2023,2,Sunday,18,,MERIDIAN ST,42.37047959,-71.03896722,"(42.37047958544974, -71.03896721520105)"
232048447,613,,LARCENY SHOPLIFTING,D4,138,0,2023-06-20 12:25:00+00,2023,6,Tuesday,12,,BOYLSTON ST,42.34862337,-71.08277689,"(42.34862336851335, -71.08277689315231)"
232038715,2647,,THREATS TO DO BODILY HARM,E5, ,0,2023-05-18 07:39:00+00,2023,5,Thursday,7,,WASHINGTON ST,42.25851837,-71.16030437,"(42.25851836815048, -71.16030437139999)"
232070767,613,,LARCENY SHOPLIFTING,D4,285,0,2023-09-02 15:00:00+00,2023,9,Saturday,15,,TREMONT ST,42.33737969,-71.08388956,"(42.33737969168505, -71.08388956062188)"
232006950,1109,,FRAUD - WIRE,C11,355,0,2023-01-27 00:00:00+00,2023,1,Friday,0,,GIBSON ST,42.29755486,-71.05970969,"(42.297554856340426, -71.05970968687002)"
232086079,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2023-10-21 19:00:00+00,2023,10,Saturday,19,,BLUE HILL AVE,42.28482534,-71.09137437,"(42.28482533772862, -71.09137437366408)"
232037172,801,,ASSAULT - SIMPLE,A1, ,0,2023-05-13 00:55:00+00,2023,5,Saturday,0,,BOWDOIN ST,42.36038125,-71.06285814,"(42.360381251042064, -71.06285813613529)"
232086500,1831,,SICK ASSIST,C6,936,0,2023-10-26 00:50:00+00,2023,10,Thursday,0,,DALESSIO CT,42.33913204,-71.05465435,"(42.33913203578865, -71.05465434625404)"
232047451,423,,ASSAULT - AGGRAVATED,D4, ,0,2023-06-16 19:11:00+00,2023,6,Friday,19,,WESTLAND AVE,42.3433799,-71.08627975,"(42.34337990143491, -71.08627975313348)"
232019217,2647,,THREATS TO DO BODILY HARM,C11,336,0,2023-03-12 11:15:00+00,2023,3,Sunday,11,,NORTON ST,,,
232006914,801,,ASSAULT - SIMPLE,A1, ,0,2023-01-27 02:40:00+00,2023,1,Friday,2,,STUART ST,42.35103057,-71.06373378,"(42.35103057372113, -71.06373378434928)"
232054720,301,,ROBBERY,E13, ,0,2023-07-11 21:43:00+00,2023,7,Tuesday,21,,"WASHINGTON ST & SCHOOL ST
JAMAICA PLAIN  MA 02130
",42.3145936,-71.09948358,"(42.3145936026494, -71.09948358234875)"
232068992,3410,,TOWED MOTOR VEHICLE,B2,182,0,2023-08-28 05:25:00+00,2023,8,Monday,5,,BATCHELDER ST,42.32249555,-71.06909235,"(42.32249554962535, -71.06909234716255)"
232092333,3801,,M/V ACCIDENT - OTHER,C6,225,0,2023-11-13 16:59:00+00,2023,11,Monday,16,,E FIFTH ST,42.33381388,-71.04284982,"(42.333813875655196, -71.04284981688055)"
232001876,616,,LARCENY THEFT OF BICYCLE,D4, ,0,2023-01-08 04:50:00+00,2023,1,Sunday,4,,BEACON ST,42.34726458,-71.10294957,"(42.34726458027594, -71.10294957073366)"
232037157,3410,,TOWED MOTOR VEHICLE,C11, ,0,2023-05-12 22:56:00+00,2023,5,Friday,22,,HANCOCK ST,42.31319335,-71.06500889,"(42.313193352610014, -71.06500889002469)"
232035258,617,,LARCENY THEFT FROM BUILDING,C11, ,0,2023-05-06 22:11:00+00,2023,5,Saturday,22,,HALLET ST,42.28227521,-71.04729143,"(42.282275210082126, -71.04729143359673)"
232047749,613,,LARCENY SHOPLIFTING,A1,112,0,2023-06-17 05:30:00+00,2023,6,Saturday,5,,WASHINGTON ST,42.35512291,-71.06088026,"(42.35512291409929, -71.06088025712485)"
232010121,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,B2,289,0,2023-02-07 13:39:00+00,2023,2,Tuesday,13,,TREMONT ST,42.33402418,-71.09039107,"(42.33402417778492, -71.09039106671881)"
232065327,2647,,THREATS TO DO BODILY HARM,C6, ,0,2023-08-15 22:00:00+00,2023,8,Tuesday,22,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
232000055,3301,,VERBAL DISPUTE,A15, ,0,2023-01-01 00:01:00+00,2023,1,Sunday,0,,TIBBETT'S TOWN WAY,42.37782625,-71.06950123,"(42.377826246269294, -71.06950122667342)"
232039141,619,,LARCENY ALL OTHERS,D4,167,0,2023-05-18 18:23:00+00,2023,5,Thursday,18,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
232059488,3301,,VERBAL DISPUTE,B3,431,0,2023-07-27 15:29:00+00,2023,7,Thursday,15,,IRMA ST,42.28702125,-71.08754676,"(42.28702125117057, -71.08754675563178)"
232092704,1831,,SICK ASSIST,A7,942,0,2023-11-14 20:55:00+00,2023,11,Tuesday,20,,VALLAR RD,42.39269609,-71.00842439,"(42.392696087000026, -71.00842439113727)"
232063682,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,E5, ,0,2023-08-07 07:00:00+00,2023,8,Monday,7,,WASHINGTON ST,42.26716691,-71.15073577,"(42.26716691331256, -71.15073576975514)"
232087084,2647,,THREATS TO DO BODILY HARM,D4,134,0,2023-10-27 19:01:00+00,2023,10,Friday,19,,NEWBURY ST,42.35176133,-71.07452217,"(42.351761332162205, -71.07452217168813)"
232024904,613,,LARCENY SHOPLIFTING,D4, ,0,2023-03-31 15:00:00+00,2023,3,Friday,15,,TREMONT ST,42.34182272,-71.07563041,"(42.341822716410384, -71.0756304107314)"
232070082,1106,,FRAUD - CREDIT CARD / ATM FRAUD,E5,746,0,2023-08-28 17:49:00+00,2023,8,Monday,17,,ANDERER LN,42.29388956,-71.16971634,"(42.29388955987811, -71.1697163375644)"
232065843,3006,,SICK/INJURED/MEDICAL - PERSON,E18, ,0,2023-08-17 14:35:00+00,2023,8,Thursday,14,,FAIRLAWN AVE,42.2678875,-71.10067086,"(42.26788749585532, -71.1006708622387)"
232089023,3115,,INVESTIGATE PERSON,C11,354,0,2023-11-02 18:00:00+00,2023,11,Thursday,18,,PARKMAN STREET,,,
232045247,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A15,58,0,2023-06-09 08:08:00+00,2023,6,Friday,8,,W SCHOOL ST,42.3754488,-71.06710682,"(42.37544879891148, -71.06710681605408)"
232069029,2905,,VAL - VIOLATION OF AUTO LAW,A1,77,0,2023-08-26 16:39:00+00,2023,8,Saturday,16,,NEW SUDBURY ST,42.36183809,-71.05976533,"(42.3618380883142, -71.05976533206233)"
232083699,3018,,SICK/INJURED/MEDICAL - POLICE,D4,167,0,2023-10-16 13:58:00+00,2023,10,Monday,13,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
232028859,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3, ,0,2023-04-14 11:45:00+00,2023,4,Friday,11,,WILLOWWOOD ST,42.28577051,-71.08631164,"(42.28577050617931, -71.08631164053203)"
232078617,1831,,SICK ASSIST,D14,750,0,2023-09-28 23:47:00+00,2023,9,Thursday,23,,GERALD RD,42.34086142,-71.16020225,"(42.34086142362483, -71.16020225478093)"
232011017,613,,LARCENY SHOPLIFTING,D4, ,0,2023-02-10 13:51:00+00,2023,2,Friday,13,,HUNTINGTON AVE,42.34749854,-71.07925557,"(42.34749853876142, -71.07925557290004)"
232043181,3114,,INVESTIGATE PROPERTY,B3, ,0,2023-06-02 10:22:00+00,2023,6,Friday,10,,BLUE HILL AVE,42.28482534,-71.09137437,"(42.28482533772862, -71.09137437366408)"
232061522,3115,,INVESTIGATE PERSON,B2, ,0,2023-08-03 14:24:00+00,2023,8,Thursday,14,,ELMORE ST,42.32087406,-71.09190064,"(42.32087405993994, -71.09190063812765)"
232092324,2610,,TRESPASSING,D4,270,0,2023-11-13 17:01:00+00,2023,11,Monday,17,,MASSACHUSETTS AVENUE,,,
232046225,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,728,0,2023-06-12 19:30:00+00,2023,6,Monday,19,,VFW PKWY,42.28059473,-71.17091611,"(42.28059473010109, -71.17091611354324)"
232018646,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,355,0,2023-03-02 16:15:00+00,2023,3,Thursday,16,,GIBSON ST,,,
232034972,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,A1, ,0,2023-05-05 21:44:00+00,2023,5,Friday,21,,BOYLSTON ST,42.35234093,-71.06297034,"(42.352340930883095, -71.06297034312065)"
232018565,3001,,DEATH INVESTIGATION,E5, ,0,2023-03-10 11:50:00+00,2023,3,Friday,11,,CHERITON RD,,,
232056669,3201,,PROPERTY - LOST/ MISSING,E18,520,0,2023-05-19 14:00:00+00,2023,5,Friday,14,,HYDE PARK AVE,42.25621554,-71.1240203,"(42.256215542554976, -71.12402029533455)"
232005025,2647,,THREATS TO DO BODILY HARM,D14, ,0,2023-01-19 19:00:00+00,2023,1,Thursday,19,,ASHFORD ST,42.35454941,-71.12746339,"(42.354549409114696, -71.12746339308104)"
232028947,3115,,INVESTIGATE PERSON,C6,200,0,2023-04-14 08:30:00+00,2023,4,Friday,8,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
232082720,3115,,INVESTIGATE PERSON,A1,77,0,2023-10-13 00:34:00+00,2023,10,Friday,0,,SUDBURY ST,,,
232050134,619,,LARCENY ALL OTHERS,B2,282,0,2023-06-25 14:30:00+00,2023,6,Sunday,14,,WASHINGTON ST,42.32866239,-71.08563459,"(42.32866239451696, -71.08563458516488)"
232094050,1831,,SICK ASSIST,E18,520,0,2023-11-19 01:35:00+00,2023,11,Sunday,1,,HYDE PARK AVE,42.25621554,-71.1240203,"(42.256215542554976, -71.12402029533455)"
232005677,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4, ,0,2023-01-22 12:07:00+00,2023,1,Sunday,12,,APPLETON ST,42.34596292,-71.07166762,"(42.34596292309759, -71.07166762010701)"
232004341,619,,LARCENY ALL OTHERS,E18, ,0,2023-01-17 14:19:00+00,2023,1,Tuesday,14,,THORN ST,42.26388717,-71.10362794,"(42.26388717272647, -71.10362793730489)"
232069791,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,133,0,2023-08-30 15:08:00+00,2023,8,Wednesday,15,,NEWBURY ST,42.35237027,-71.07227222,"(42.352370266071084, -71.07227221547399)"
